# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	331009
#@/user_id	SyncTemp
a 	啊	c=1139 d=1.2665 t=331009
a 	阿	c=4 d=7.57931e-240 t=331009
a a 	啊啊	c=5 d=1.27533e-67 t=331009
a a a a 	啊啊啊啊	c=2 d=9.88131e-324 t=331009
a a a a a a 	啊啊啊啊啊啊	c=0 d=8.8019e-30 t=331009
a a a a a a a 	啊啊啊啊啊啊啊	c=1 d=8.84602e-29 t=331009
a a song 	啊啊送	c=1 d=0 t=331009
a bu 	阿布	c=1 d=0 t=331009
a cui 	阿崔	c=2 d=0 t=331009
a dou 	阿斗	c=3 d=1.20195e-17 t=331009
a du 	阿杜	c=4 d=7.13277e-225 t=331009
a ha ha ha 	啊哈哈哈	c=1 d=0 t=331009
a li 	阿里	c=26 d=1.43528e-16 t=331009
a li yun 	阿里云	c=21 d=1.52772e-13 t=331009
a li yun pan 	阿里云盘	c=1 d=6.26493e-29 t=331009
a mo xi lin 	阿莫西林	c=1 d=2.32261e-61 t=331009
a mu 	阿姆	c=2 d=1.97694e-312 t=331009
a mu 	阿母	c=1 d=0 t=331009
a mu si te dan 	阿姆斯特丹	c=1 d=1.49713e-218 t=331009
a san 	阿三	c=2 d=1.83527 t=304082
a yi 	阿姨	c=2 d=5.13349e-68 t=331009
ai 	哎	c=6 d=1.51932e-09 t=331009
ai 	唉	c=235 d=0.234073 t=331009
ai 	爱	c=18 d=2.18221e-05 t=331009
ai 	矮	c=4 d=1.24812e-78 t=331009
ai ai 	爱爱	c=1 d=0 t=331009
ai ai a li 	爱爱阿里	c=1 d=0 t=331009
ai ai ai 	爱爱唉	c=3 d=0 t=331009
ai cha 	爱查	c=1 d=0 t=331009
ai chou 	哀愁	c=0 d=6.43541e-228 t=331009
ai de 	爱的	c=2 d=1.3436e-151 t=331009
ai de hua zi 	爱德华兹	c=1 d=1.79365e-50 t=331009
ai dou ai le 	爱都爱了	c=1 d=1.31465e-42 t=331009
ai ge gou 	爱个够	c=1 d=6.37138e-227 t=331009
ai guo 	爱国	c=0 d=0 t=331009
ai hen mei wei 	爱很美味	c=2 d=0 t=331009
ai hu 	爱护	c=1 d=1 t=310765
ai hun le tou 	爱昏了头	c=1 d=2.45988e-207 t=331009
ai ji 	矮几	c=1 d=1.66354e-17 t=331009
ai kan 	爱看	c=0 d=0 t=331009
ai kan gen 	爱看跟	c=1 d=0 t=331009
ai kang 	爱康	c=11 d=3.76899e-80 t=331009
ai lun 	艾伦	c=5 d=2.58837e-159 t=331009
ai ni 	爱你	c=3 d=2.90451e-103 t=331009
ai ni de ren 	爱你的人	c=0 d=3.84959e-124 t=331009
ai qi yi 	爱奇艺	c=1 d=2.28859e-152 t=331009
ai qing 	爱情	c=3 d=6.90359e-25 t=331009
ai qing bao wei zhan 	爱情保卫战	c=2 d=1.35899e-138 t=331009
ai ren 	爱人	c=27 d=1.26115e-79 t=331009
ai rui 	艾瑞	c=0 d=2.47619e-315 t=331009
ai rui ze 	艾瑞则	c=1 d=0 t=331009
ai rui ze 	艾瑞泽	c=1 d=2.4886e-314 t=331009
ai shang ni 	爱上你	c=1 d=0 t=331009
ai si 	爱思	c=14 d=1.00001 t=330721
ai si zuo lun 	艾司唑仑	c=1 d=0 t=331009
ai te 	唉特	c=4 d=3.34352e-09 t=331009
ai wo 	爱我	c=2 d=4.11009e-158 t=331009
ai xiao 	爱笑	c=1 d=3.21144e-314 t=331009
ai xiu er 	爱休尔	c=1 d=0 t=331009
ai xun 	唉寻	c=1 d=1.54271e-71 t=331009
ai ya 	哎呀	c=12 d=0.000777055 t=331009
ai you 	哎呦	c=1 d=2.72322e-228 t=331009
ai you he 	哎呦呵	c=1 d=0 t=331009
ai you you 	哎呦呦	c=1 d=2.73687e-227 t=331009
ai yu ai chou 	爱与哀愁	c=1 d=6.46767e-227 t=331009
ai za za zhao 	爱咋咋着	c=1 d=3.92405e-260 t=331009
ai zai 	爱在	c=1 d=0 t=331009
ai zai shen qiu 	爱在深秋	c=1 d=0 t=331009
ai zhe 	挨着	c=6 d=3.00858e-76 t=331009
