# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	299031
#@/user_id	1dd0fc4f-c87c-47d9-ba60-5efabec58bf4
a 	啊	c=1051 d=1.20603 t=299031
a 	阿	c=4 d=1 t=188912
a a 	啊啊	c=4 d=2.86488 t=150005
a a a a 	啊啊啊啊	c=2 d=1.76721 t=150043
a a a a a a 	啊啊啊啊啊啊	c=0 d=0.1 t=286111
a a a a a a a 	啊啊啊啊啊啊啊	c=1 d=1 t=286112
a a song 	啊啊送	c=1 d=1 t=28786
a bu 	阿布	c=1 d=1 t=19906
a cui 	阿崔	c=2 d=1 t=133624
a dou 	阿斗	c=3 d=1 t=291239
a du 	阿杜	c=4 d=2.49192 t=195625
a ha ha ha 	啊哈哈哈	c=1 d=1 t=8735
a li 	阿里	c=26 d=1 t=291735
a li yun 	阿里雲	c=19 d=1.00017 t=293129
a li yun pan 	阿里雲盤	c=1 d=1 t=286043
a mo xi lin 	阿莫西林	c=1 d=1 t=271108
a mu 	阿姆	c=2 d=1 t=155486
a mu 	阿母	c=1 d=1 t=143812
a mu si te dan 	阿姆斯特丹	c=1 d=1 t=198719
a yi 	阿姨	c=2 d=1 t=268043
ai 	哎	c=6 d=1 t=294970
ai 	唉	c=215 d=0.234073 t=299031
ai 	愛	c=18 d=2.18221e-05 t=299031
ai 	矮	c=4 d=1 t=263155
ai ai 	愛愛	c=1 d=0.199501 t=149820
ai ai a li 	愛愛阿里	c=1 d=1 t=149820
ai ai ai 	愛愛唉	c=3 d=2.76942 t=149846
ai cha 	愛查	c=1 d=1 t=147598
ai chou 	哀愁	c=0 d=0.1 t=194866
ai de 	愛的	c=2 d=1 t=229552
ai de hua zi 	愛德華茲	c=1 d=1 t=276122
ai dou ai le 	愛都愛了	c=1 d=1 t=279744
ai ge gou 	愛個夠	c=1 d=1 t=194864
ai guo 	愛國	c=0 d=0.1 t=51580
ai hen mei wei 	愛很美味	c=2 d=1 t=74968
ai hun le tou 	愛昏了頭	c=1 d=1 t=203884
ai ji 	矮几	c=1 d=1 t=291304
ai kan 	愛看	c=0 d=0.1 t=86211
ai kan gen 	愛看跟	c=1 d=1 t=86212
ai kang 	愛康	c=11 d=1 t=262455
ai lun 	艾倫	c=5 d=1 t=225999
ai ni 	愛你	c=3 d=1 t=251811
ai ni de ren 	愛你的人	c=0 d=0.1 t=242657
ai qi yi 	愛奇藝	c=1 d=1 t=229198
ai qing 	愛情	c=3 d=0.1 t=288365
ai qing bao wei zhan 	愛情保衛戰	c=2 d=1 t=235541
ai ren 	愛人	c=27 d=2.38166 t=262523
ai rui 	艾瑞	c=0 d=0.1 t=154610
ai rui ze 	艾瑞則	c=1 d=1 t=120979
ai rui ze 	艾瑞澤	c=1 d=1 t=154611
ai shang ni 	愛上你	c=1 d=1 t=12586
ai si zuo lun 	艾司唑仑	c=1 d=1 t=111547
ai te 	唉特	c=4 d=1.93239 t=294996
ai wo 	愛我	c=2 d=1 t=226552
ai xiao 	愛笑	c=1 d=1 t=154662
ai xiu er 	愛休爾	c=1 d=1 t=15290
ai xun 	唉尋	c=1 d=1 t=266421
ai ya 	哎呀	c=12 d=0.000777055 t=299031
ai you 	哎呦	c=1 d=0.1 t=194694
ai you he 	哎呦呵	c=1 d=1 t=6157
ai you you 	哎呦呦	c=1 d=1 t=194695
ai yu ai chou 	愛與哀愁	c=1 d=1 t=194867
ai za za zhao 	愛咋咋着	c=1 d=1 t=179570
ai zai 	愛在	c=1 d=0.1 t=138132
ai zai shen qiu 	愛在深秋	c=1 d=1 t=138133
ai zhe 	挨着	c=6 d=1 t=264252
an 	安	c=2 d=0.1 t=218290
an 	按	c=96 d=1 t=293212
an bian 	岸邊	c=1 d=1 t=102307
an bu liao 	按不了	c=1 d=1 t=49449
an bu xia qu 	按不下去	c=1 d=1 t=100981
an cuo 	安厝	c=2 d=1.99501 t=211993
an cuo 	按錯	c=1 d=1 t=211994
an dao li 	按道理	c=1 d=1 t=284166
an dun 	安頓	c=3 d=1 t=265744
an er 	庵兒	c=1 d=1 t=109277
an fang 	安放	c=1 d=1 t=158153
an fang 	安防	c=0 d=2.17133e-05 t=299031
an fang ji di fang lai kan 	安防及地方來看	c=1 d=0.000218221 t=299031
an ge 	安格	c=7 d=1 t=230018
an ge wo 	安格我	c=1 d=1 t=21937
an hei 	暗黑	c=9 d=1 t=229580
an jian 	按鍵	c=11 d=1 t=266681
an jing 	安靜	c=1 d=1 t=87322
an jiu 	暗九	c=1 d=1 t=12456
an kai 	按開	c=1 d=0.1 t=143632
an li 	按理	c=4 d=1 t=167084
an li 	案例	c=11 d=1.00272 t=270105
an li 	諳歷	c=1 d=1 t=4570
an li lai shuo 	按理來說	c=1 d=1 t=122733
